 NOFB 49ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 49M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 50INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 50OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 50ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 50M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 51INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 51OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 51ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 51M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 52INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 52OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 52ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 52M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 53INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 53OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 53ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 53M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 54INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 54OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 54ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 54M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 55INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 55OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 55ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
 NOFB 55M5OUTER w, n0, rfit:-1.951232306037014e-15 9.99999999999996e-07 10.0
 NOFB 56INNER w, n0, rfit:-1.1071951260339689e-15 1.000000000000002e-06 1.0
 NOFB 56OUTER w, n0, rfit:-3.5536542648992325e-16 1e-06 10.0
 NOFB 56ALL w, n0, rfit:1.762706482169409e-15 1e-06 10.0
